Rec_ID,GeneID,Colour,Cell_Cycle_Cat,Cell_Cycle_Number,Gene_Induction,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,description,type_of_gene,Other_designations,Class
2701,102606845,Yellow,13-20,18,0,LOC102606845,CISIN_1g013311mg,-,-,3,eukaryotic translation initiation factor 5,protein-coding,eukaryotic translation initiation factor 5,Plant
2702,102606846,Green,21-28,28,0,LOC102606846,-,-,-,Un,uncharacterized LOC102606846,protein-coding,uncharacterized protein LOC102606846,Plant
2703,102606847,Yellow,13-20,17,0,LOC102606847,-,-,-,Un,putative disease resistance RPP13-like protein 1,protein-coding,putative disease resistance RPP13-like protein 1,Plant
2704,102606848,Green,13-20,17,1,LOC102606848,-,-,-,Un,L-type lectin-domain containing receptor kinase S.4-like,protein-coding,L-type lectin-domain containing receptor kinase S.4-like,Plant
2705,102606849,Green,21-28,25,1,LOC102606849,-,-,-,Un,probable glutathione S-transferase,protein-coding,probable glutathione S-transferase,Plant
2706,102606851,Green,13-20,19,0,LOC102606851,-,-,-,Un,uncharacterized LOC102606851,protein-coding,uncharacterized protein LOC102606851,Plant
2707,102606852,Green,13-20,17,1,LOC102606852,-,-,-,3,uncharacterized protein At1g01500,protein-coding,uncharacterized protein At1g01500,Plant
2708,102606853,Green,5-12,12,1,LOC102606853,-,-,-,Un,putative RING-H2 finger protein ATL69,protein-coding,putative RING-H2 finger protein ATL69,Plant
2709,102606854,Green,5-12,6,1,LOC102606854,-,-,-,3,uncharacterized LOC102606854,protein-coding,uncharacterized protein LOC102606854,Plant
2710,102606855,Green,21-28,24,1,LOC102606855,-,-,-,Un,fucosyltransferase 2-like,protein-coding,fucosyltransferase 2-like,Plant
2711,102606857,Green,5-12,9,1,LOC102606857,-,-,-,3,MLO-like protein 9,protein-coding,MLO-like protein 9,Plant
2712,102606858,Green,13-20,16,0,LOC102606858,-,-,-,Un,"peptide chain release factor 1, mitochondrial-like",pseudo,-,Plant
2713,102606859,Green,5-12,6,1,LOC102606859,-,-,-,4,17.3 kDa class II heat shock protein-like,protein-coding,17.3 kDa class II heat shock protein-like,Plant
2714,102606860,Green,5-12,7,1,LOC102606860,CISIN_1g012070mg,-,-,5,bystin,protein-coding,bystin,Plant
2715,102606861,Yellow,5-12,5,1,LOC102606861,-,-,-,Un,uncharacterized LOC102606861,ncRNA,-,Plant
2716,102606862,Yellow,5-12,7,0,LOC102606862,-,-,-,4,protein ACCELERATED CELL DEATH 6-like,protein-coding,protein ACCELERATED CELL DEATH 6-like,Plant
2717,102606863,Yellow,13-20,18,1,LOC102606863,-,-,-,4,uncharacterized LOC102606863,protein-coding,uncharacterized protein LOC102606863,Plant
2718,102606864,Yellow,5-12,8,1,LOC102606864,-,-,-,5,tRNA (guanine-N(7)-)-methyltransferase-like,protein-coding,uncharacterized protein LOC102606864,Plant
2719,102606865,Yellow,5-12,9,1,LOC102606865,-,-,-,5,probable protein S-acyltransferase 14,protein-coding,probable protein S-acyltransferase 14,Plant
2720,102606866,Yellow,13-20,14,1,LOC102606866,-,-,-,5,oleosin 18 kDa-like,protein-coding,oleosin 18 kDa-like,Plant
2721,102606867,Green,13-20,13,1,LOC102606867,-,-,-,5,MAR-binding filament-like protein 1-1,protein-coding,MAR-binding filament-like protein 1-1,Plant
2722,102606868,Green,5-12,7,1,LOC102606868,-,-,-,5,kelch domain-containing protein 3,protein-coding,kelch domain-containing protein 3|uncharacterized protein LOC102606868,Plant
2723,102606869,Green,13-20,17,0,LOC102606869,-,-,-,5,C2 domain-containing protein At1g53590,protein-coding,C2 domain-containing protein At1g53590,Plant
2724,102606870,Green,5-12,11,1,LOC102606870,-,-,-,5,disease resistance-like protein DSC1,protein-coding,disease resistance-like protein DSC1,Plant
2725,102606871,Green,5-12,10,0,LOC102606871,-,-,-,5,uncharacterized LOC102606871,protein-coding,uncharacterized protein LOC102606871,Plant
2726,102606872,Green,13-20,18,0,LOC102606872,CISIN_1g024253mg,-,-,5,aminoacyl tRNA synthase complex-interacting multifunctional protein 1,protein-coding,aminoacyl tRNA synthase complex-interacting multifunctional protein 1,Plant
2727,102606873,Yellow,21-28,23,1,LOC102606873,-,-,-,5,uncharacterized LOC102606873,protein-coding,uncharacterized protein LOC102606873,Plant
2728,102606874,Green,13-20,18,1,LOC102606874,CISIN_1g031757mg,-,-,5,"small ribosomal subunit protein S13, mitochondrial",protein-coding,"small ribosomal subunit protein S13, mitochondrial",Plant
2729,102606875,Green,21-28,22,1,LOC102606875,-,-,-,5,ribosome biogenesis protein bms1-like,pseudo,-,Plant
2730,102606876,Green,5-12,8,1,LOC102606876,-,-,-,5,protein SCARECROW-like,protein-coding,protein SCARECROW-like,Plant
2731,102606877,Green,13-20,20,0,LOC102606877,CISIN_1g037384mg,-,-,5,non-specific lipid-transfer protein-like protein At2g13820,protein-coding,non-specific lipid-transfer protein-like protein At2g13820,Plant
2732,102606878,Green,13-20,14,1,LOC102606878,CISIN_1g033457mg,-,-,5,membrane-anchored ubiquitin-fold protein 3,protein-coding,membrane-anchored ubiquitin-fold protein 3,Plant
2733,102606880,Green,5-12,11,0,LOC102606880,-,-,-,6,uncharacterized LOC102606880,protein-coding,uncharacterized protein LOC102606880,Plant
2734,102606881,Green,13-20,13,0,LOC102606881,-,-,-,6,probable ADP-ribosylation factor GTPase-activating protein AGD6,protein-coding,probable ADP-ribosylation factor GTPase-activating protein AGD6,Plant
2735,102606882,Green,21-28,25,1,LOC102606882,CISIN_1g032628mg,-,-,6,"light-harvesting complex-like protein OHP1, chloroplastic",protein-coding,"light-harvesting complex-like protein OHP1, chloroplastic|high-light-induced protein, chloroplastic",Plant
2736,102606883,Green,13-20,18,1,LOC102606883,CISIN_1g041428mg,-,-,6,aldose reductase,protein-coding,aldose reductase,Plant
2737,102606884,Green,13-20,19,1,LOC102606884,-,-,-,6,SNW/SKI-interacting protein,protein-coding,SNW/SKI-interacting protein,Plant
2738,102606885,Green,5-12,6,0,LOC102606885,-,-,-,6,putative serine/threonine-protein kinase,protein-coding,putative serine/threonine-protein kinase,Plant
2739,102606887,Yellow,13-20,19,0,LOC102606887,-,-,-,6,uncharacterized LOC102606887,protein-coding,uncharacterized protein LOC102606887,Plant
2740,102606888,Green,21-28,21,0,LOC102606888,-,-,-,6,uncharacterized LOC102606888,protein-coding,uncharacterized protein LOC102606888,Plant
2741,102606889,Yellow,5-12,6,1,LOC102606889,-,-,-,7,uncharacterized LOC102606889,protein-coding,uncharacterized protein LOC102606889,Plant
2742,102606890,Green,21-28,22,1,LOC102606890,-,-,-,7,uncharacterized LOC102606890,protein-coding,uncharacterized protein LOC102606890,Plant
2743,102606891,Yellow,13-20,15,1,LOC102606891,-,-,-,7,"WEB family protein At3g02930, chloroplastic-like",protein-coding,"WEB family protein At3g02930, chloroplastic-like",Plant
2744,102606892,Green,13-20,16,1,LOC102606892,-,-,-,7,RNA polymerase sigma factor sigA,protein-coding,RNA polymerase sigma factor sigA,Plant
2745,102606893,Green,5-12,9,1,LOC102606893,-,-,-,7,probable lysophospholipase BODYGUARD 4,protein-coding,probable lysophospholipase BODYGUARD 4,Plant
2746,102606894,Green,5-12,7,1,LOC102606894,-,-,-,7,"magnesium transporter MRS2-11, chloroplastic",protein-coding,"magnesium transporter MRS2-11, chloroplastic",Plant
2747,102606895,Green,13-20,14,1,LOC102606895,-,-,-,7,3-phosphoinositide-dependent protein kinase 2,protein-coding,3-phosphoinositide-dependent protein kinase 2,Plant
2748,102606897,Green,13-20,19,0,LOC102606897,-,-,-,7,uncharacterized LOC102606897,ncRNA,-,Plant
2749,102606898,Green,5-12,10,1,LOC102606898,-,-,-,7,polyamine oxidase-like,protein-coding,polyamine oxidase-like,Plant
2750,102606899,Green,5-12,9,1,LOC102606899,-,-,-,7,protein EARLY RESPONSIVE TO DEHYDRATION 15-like,protein-coding,protein EARLY RESPONSIVE TO DEHYDRATION 15-like,Plant
2751,102606900,Green,13-20,16,1,LOC102606900,CISIN_1g009054mg,-,-,8,L-ascorbate oxidase homolog,protein-coding,L-ascorbate oxidase homolog,Plant
2752,102606901,Green,21-28,28,1,LOC102606901,CISIN_1g027078mg,-,-,1,DCN1-like protein 4,protein-coding,DCN1-like protein 4,Plant
2753,102606902,Green,5-12,6,0,LOC102606902,CISIN_1g042084mg,-,-,8,cellulose synthase-like protein D4,protein-coding,cellulose synthase-like protein D4,Plant
2754,102606903,Green,21-28,24,1,LOC102606903,-,-,-,1,auxin-responsive protein IAA1,protein-coding,auxin-responsive protein IAA1,Plant
2755,102606904,Green,5-12,11,1,LOC102606904,-,-,-,8,BTB/POZ domain-containing protein At3g05675-like,protein-coding,BTB/POZ domain-containing protein At3g05675-like,Plant
2756,102606905,Green,13-20,18,0,LOC102606905,-,-,-,8,uncharacterized LOC102606905,ncRNA,-,Plant
2757,102606906,Green,5-12,5,0,LOC102606906,-,-,-,8,uncharacterized LOC102606906,protein-coding,uncharacterized protein LOC102606906,Plant
2758,102606907,Green,21-28,21,0,LOC102606907,-,-,-,8,uncharacterized LOC102606907,protein-coding,uncharacterized protein LOC102606907,Plant
2759,102606908,Yellow,13-20,13,0,LOC102606908,-,-,-,1,uncharacterized LOC102606908,ncRNA,-,Plant
2760,102606909,Green,5-12,10,1,LOC102606909,-,-,-,1,BTB/POZ and TAZ domain-containing protein 4,protein-coding,BTB/POZ and TAZ domain-containing protein 4,Plant
2761,102606911,Green,21-28,22,0,LOC102606911,CISIN_1g032368mg,-,-,2,glutaredoxin-C9,protein-coding,glutaredoxin-C9,Plant
2762,102606912,Green,5-12,8,0,LOC102606912,-,-,-,2,"putative PAP-specific phosphatase, mitochondrial",protein-coding,"putative PAP-specific phosphatase, mitochondrial",Plant
2763,102606913,Green,13-20,15,0,LOC102606913,-,-,-,9,"pyruvate kinase isozyme A, chloroplastic",protein-coding,"pyruvate kinase isozyme A, chloroplastic",Plant
2764,102606914,Green,13-20,15,0,LOC102606914,-,-,-,9,probable glutathione S-transferase,protein-coding,probable glutathione S-transferase,Plant
2765,102606915,Green,13-20,18,1,LOC102606915,-,-,-,2,uncharacterized LOC102606915,protein-coding,uncharacterized protein LOC102606915,Plant
2766,102606916,Yellow,5-12,9,0,LOC102606916,-,-,-,2,calcium homeostasis endoplasmic reticulum protein,protein-coding,calcium homeostasis endoplasmic reticulum protein,Plant
2767,102606918,Green,13-20,15,0,LOC102606918,-,-,-,Un,uncharacterized LOC102606918,protein-coding,uncharacterized protein LOC102606918,Plant
2768,102606919,Green,21-28,27,0,LOC102606919,-,-,-,2,uncharacterized LOC102606919,protein-coding,uncharacterized protein LOC102606919,Plant
2769,102606920,Green,5-12,12,0,LOC102606920,CISIN_1g019063mg,-,-,2,zingipain-2,protein-coding,zingipain-2,Plant
2770,102606921,Green,13-20,13,1,LOC102606921,-,-,-,Un,"protein PTST homolog 3, chloroplastic",protein-coding,"protein PTST homolog 3, chloroplastic",Plant
2771,102606922,Green,13-20,13,0,LOC102606922,-,-,-,2,"geranylgeranyl diphosphate reductase, chloroplastic-like",protein-coding,"geranylgeranyl diphosphate reductase, chloroplastic-like",Plant
2772,102606923,Green,13-20,19,1,LOC102606923,-,-,-,Un,dof zinc finger protein DOF4.6-like,protein-coding,dof zinc finger protein DOF4.6-like,Plant
2773,102606924,Red,13-20,18,0,LOC102606924,-,-,-,3,glutathione S-transferase zeta class-like,protein-coding,glutathione S-transferase zeta class-like,Plant
2774,102606925,Yellow,13-20,18,1,LOC102606925,-,-,-,3,putative amidohydrolase YtcJ,protein-coding,uncharacterized protein LOC102606925,Plant
2775,102606926,Yellow,5-12,12,1,LOC102606926,-,-,-,Un,amino acid transporter AVT6E,protein-coding,amino acid transporter AVT6E|probable sodium-coupled neutral amino acid transporter 6,Plant
2776,102606927,Green,5-12,10,0,LOC102606927,CISIN_1g002895mg,-,-,Un,histone-lysine N-methyltransferase EZA1,protein-coding,histone-lysine N-methyltransferase EZA1,Plant
2777,102606928,Green,21-28,21,0,LOC102606928,-,-,-,Un,"stromal 70 kDa heat shock-related protein, chloroplastic",protein-coding,"stromal 70 kDa heat shock-related protein, chloroplastic",Plant
2778,102606929,Green,5-12,11,1,LOC102606929,-,-,-,Un,uncharacterized LOC102606929,protein-coding,uncharacterized protein LOC102606929,Plant
2779,102606930,Yellow,13-20,18,1,LOC102606930,CISIN_1g033949mg,-,-,3,hypothetical protein,protein-coding,uncharacterized protein LOC102606930,Plant
2780,102606931,Yellow,13-20,19,1,LOC102606931,-,-,-,3,multicystatin-like,protein-coding,multicystatin-like,Plant
2781,102606933,Green,13-20,14,1,LOC102606933,-,-,-,3,protein ROOT PRIMORDIUM DEFECTIVE 1,protein-coding,protein ROOT PRIMORDIUM DEFECTIVE 1,Plant
2782,102606934,Yellow,13-20,15,0,LOC102606934,-,-,-,3,B3 domain-containing protein REM16-like,protein-coding,B3 domain-containing protein REM16-like,Plant
2783,102606935,Green,13-20,13,1,LOC102606935,CISIN_1g027564mg,-,-,3,cytokinin riboside 5'-monophosphate phosphoribohydrolase LOG5,protein-coding,cytokinin riboside 5'-monophosphate phosphoribohydrolase LOG5,Plant
2784,102606936,Yellow,13-20,20,1,LOC102606936,-,-,-,Un,uncharacterized LOC102606936,pseudo,-,Plant
2785,102606937,Green,5-12,11,1,LOC102606937,-,-,-,Un,putative disease resistance protein RGA1,protein-coding,putative disease resistance protein RGA1,Plant
2786,102606938,Green,5-12,7,0,LOC102606938,-,-,-,4,uncharacterized LOC102606938,protein-coding,uncharacterized protein LOC102606938,Plant
2787,102606939,Yellow,13-20,14,0,LOC102606939,CISIN_1g019964mg,-,-,4,hypothetical protein,protein-coding,uncharacterized protein LOC102606939,Plant
2788,102606940,Green,13-20,15,0,LOC102606940,-,-,-,Un,probable disease resistance protein At4g27220,protein-coding,probable disease resistance protein At4g27220,Plant
2789,102606941,Red,13-20,14,0,LOC102606941,-,-,-,4,FBD-associated F-box protein At4g10400-like,protein-coding,FBD-associated F-box protein At4g10400-like,Plant
2790,102606942,Green,13-20,18,0,LOC102606942,-,-,-,Un,uncharacterized LOC102606942,ncRNA,-,Plant
2791,102606943,Green,13-20,14,0,LOC102606943,-,-,-,Un,uncharacterized LOC102606943,protein-coding,uncharacterized protein LOC102606943,Plant
2792,102606944,Green,13-20,20,1,LOC102606944,-,-,-,4,general transcription and DNA repair factor IIH subunit TFB1-1-like,protein-coding,general transcription and DNA repair factor IIH subunit TFB1-1-like,Plant
2793,102606945,Yellow,21-28,22,1,LOC102606945,-,-,-,Un,2-alkenal reductase (NADP(+)-dependent)-like,protein-coding,2-alkenal reductase (NADP(+)-dependent)-like,Plant
2794,102606946,Green,21-28,21,1,LOC102606946,CISIN_1g035231mg,-,-,4,V-type proton ATPase subunit e1,protein-coding,V-type proton ATPase subunit e1,Plant
2795,102606947,Yellow,21-28,24,0,LOC102606947,-,-,-,4,uncharacterized LOC102606947,protein-coding,uncharacterized protein LOC102606947,Plant
2796,102606948,Green,5-12,8,0,LOC102606948,-,SQS2,-,4,(-)-germacrene D synthase-like,protein-coding,(-)-germacrene D synthase-like,Plant
2797,102606949,Green,13-20,15,1,LOC102606949,-,-,-,4,"arginine--tRNA ligase, chloroplastic/mitochondrial-like",protein-coding,"arginine--tRNA ligase, chloroplastic/mitochondrial-like|arginine--tRNA ligase, cytoplasmic-like",Plant
2798,102606950,Red,13-20,14,0,LOC102606950,-,-,-,4,"sodium/pyruvate cotransporter BASS2, chloroplastic",protein-coding,"sodium/pyruvate cotransporter BASS2, chloroplastic",Plant
2799,102606951,Green,5-12,5,0,LOC102606951,-,-,-,4,uncharacterized N-acetyltransferase p20-like,protein-coding,uncharacterized protein LOC102606951,Plant
2800,102606952,Green,13-20,16,1,LOC102606952,CISIN_1g014180mg,-,-,4,protein TIFY 8,protein-coding,protein TIFY 8,Plant
2801,102606953,Yellow,21-28,26,1,LOC102606953,CISIN_1g023266mg,-,-,5,hypersensitive-induced response protein 1,protein-coding,hypersensitive-induced response protein 1,Plant
2802,102606954,Green,13-20,20,1,LOC102606954,-,-,-,5,heme-binding protein 2-like,protein-coding,heme-binding protein 2-like,Plant
2803,102606955,Green,5-12,7,1,LOC102606955,-,-,-,5,proline transporter 1-like,protein-coding,proline transporter 1-like,Plant
2804,102606956,Green,21-28,21,1,LOC102606956,CISIN_1g026573mg,-,-,5,"50S ribosomal protein L19-1, chloroplastic",protein-coding,"50S ribosomal protein L19-1, chloroplastic",Plant
2805,102606957,Red,13-20,16,1,LOC102606957,-,-,-,5,"thioredoxin-like 1-2, chloroplastic",protein-coding,"thioredoxin-like 1-2, chloroplastic",Plant
2806,102606958,Green,13-20,16,0,LOC102606958,-,-,-,5,uncharacterized LOC102606958,ncRNA,-,Plant
2807,102606959,Green,13-20,13,1,LOC102606959,-,-,-,5,21 kDa seed protein-like,protein-coding,21 kDa seed protein-like,Plant
2808,102606960,Green,5-12,8,1,LOC102606960,-,-,-,5,uncharacterized protein At1g51745,protein-coding,uncharacterized protein At1g51745,Plant
2809,102606961,Green,13-20,19,1,LOC102606961,-,-,-,5,receptor-like serine/threonine-protein kinase ALE2,protein-coding,receptor-like serine/threonine-protein kinase ALE2,Plant
2810,102606962,Green,13-20,15,1,LOC102606962,-,-,-,5,probable carboxylesterase 5,protein-coding,probable carboxylesterase 5,Plant
2811,102606963,Green,5-12,12,1,LOC102606963,-,-,-,6,protein NRT1/ PTR FAMILY 2.8-like,protein-coding,protein NRT1/ PTR FAMILY 2.8-like,Plant
2812,102606964,Green,5-12,12,0,LOC102606964,-,-,-,6,probable aspartyl protease At4g16563,protein-coding,probable aspartyl protease At4g16563,Plant
2813,102606965,Green,13-20,19,0,LOC102606965,CISIN_1g042033mg,-,-,6,"proline dehydrogenase 2, mitochondrial",protein-coding,"proline dehydrogenase 2, mitochondrial",Plant
2814,102606966,Green,13-20,16,1,LOC102606966,CISIN_1g029456mg,-,-,7,hypothetical protein,protein-coding,uncharacterized protein LOC102606966,Plant
2815,102606967,Green,13-20,19,0,LOC102606967,CISIN_1g004946mg,-,-,7,"probable 1-deoxy-D-xylulose-5-phosphate synthase, chloroplastic",protein-coding,"probable 1-deoxy-D-xylulose-5-phosphate synthase, chloroplastic",Plant
2816,102606969,Green,13-20,19,0,LOC102606969,-,-,-,7,serine/arginine-rich splicing factor RSZ22,protein-coding,serine/arginine-rich splicing factor RSZ22,Plant
2817,102606970,Green,13-20,18,0,LOC102606970,-,-,-,7,uncharacterized LOC102606970,protein-coding,uncharacterized protein LOC102606970,Plant
2818,102606971,Green,21-28,23,1,LOC102606971,-,-,-,7,very-long-chain 3-oxoacyl-CoA reductase 1-like,pseudo,-,Plant
2819,102606972,Green,13-20,19,1,LOC102606972,-,-,-,7,heavy metal-associated isoprenylated plant protein 6,protein-coding,heavy metal-associated isoprenylated plant protein 6,Plant
2820,102606973,Green,5-12,8,1,LOC102606973,-,-,-,7,60S ribosomal protein L6-like,protein-coding,60S ribosomal protein L6-like,Plant
2821,102606974,Green,5-12,5,0,LOC102606974,-,-,-,1,uncharacterized LOC102606974,protein-coding,uncharacterized protein LOC102606974,Plant
2822,102606975,Green,13-20,16,1,LOC102606975,-,-,-,7,probable lysine-specific demethylase ELF6,protein-coding,probable lysine-specific demethylase ELF6,Plant
2823,102606976,Green,13-20,19,0,LOC102606976,-,-,-,1,TSL-kinase interacting protein 1,protein-coding,TSL-kinase interacting protein 1,Plant
2824,102606977,Yellow,13-20,17,0,LOC102606977,-,-,-,7,TBC1 domain family member 8B,protein-coding,TBC1 domain family member 8B,Plant
2825,102606979,Yellow,13-20,20,1,LOC102606979,-,-,-,1,uncharacterized LOC102606979,ncRNA,-,Plant
2826,102606980,Yellow,13-20,19,0,LOC102606980,-,-,-,8,homoserine kinase,protein-coding,homoserine kinase,Plant
2827,102606981,Green,5-12,5,1,LOC102606981,-,-,-,1,"ATPase 9, plasma membrane-type",protein-coding,"ATPase 9, plasma membrane-type",Plant
2828,102606982,Green,13-20,14,0,LOC102606982,-,-,-,1,UDP-glycosyltransferase 73C6-like,protein-coding,UDP-glycosyltransferase 73C6-like,Plant
2829,102606983,Green,13-20,18,1,LOC102606983,-,-,-,1,putative disease resistance protein At4g10780,pseudo,-,Plant
2830,102606984,Yellow,13-20,14,1,LOC102606984,-,-,-,1,G-type lectin S-receptor-like serine/threonine-protein kinase CES101,pseudo,-,Plant
2831,102606985,Green,5-12,10,0,LOC102606985,CISIN_1g015822mg,-,-,1,developmentally-regulated G-protein 2,protein-coding,developmentally-regulated G-protein 1|developmentally-regulated G-protein 2,Plant
2832,102606986,Green,13-20,18,1,LOC102606986,-,-,-,1,transmembrane 9 superfamily member 7,protein-coding,transmembrane 9 superfamily member 7,Plant
2833,102606987,Green,5-12,10,0,LOC102606987,-,-,-,1,disease resistance-like protein DSC1,protein-coding,disease resistance-like protein DSC1,Plant
2834,102606988,Green,13-20,17,0,LOC102606988,-,-,-,8,probable LRR receptor-like serine/threonine-protein kinase At3g47570,protein-coding,probable LRR receptor-like serine/threonine-protein kinase At3g47570,Plant
2835,102606989,Green,13-20,14,0,LOC102606989,CISIN_1g020798mg,-,-,1,COMPASS-like H3K4 histone methylase component WDR5A,protein-coding,COMPASS-like H3K4 histone methylase component WDR5A,Plant
2836,102606990,Green,13-20,19,1,LOC102606990,-,-,-,1,extradiol ring-cleavage dioxygenase-like,protein-coding,extradiol ring-cleavage dioxygenase-like,Plant
2837,102606991,Green,13-20,15,1,LOC102606991,-,-,-,8,serine carboxypeptidase-like,protein-coding,serine carboxypeptidase-like,Plant
2838,102606992,Green,13-20,16,1,LOC102606992,-,-,-,1,UDP-glycosyltransferase 72E1-like,protein-coding,UDP-glycosyltransferase 72E1-like,Plant
2839,102606993,Yellow,13-20,18,0,LOC102606993,-,-,-,8,zinc finger CCCH domain-containing protein 24,protein-coding,zinc finger CCCH domain-containing protein 24,Plant
2840,102606994,Green,13-20,20,1,LOC102606994,CISIN_1g010454mg,-,-,8,ethylene-responsive transcription factor RAP2-7,protein-coding,ethylene-responsive transcription factor RAP2-7,Plant
2841,102606995,Green,5-12,12,0,LOC102606995,-,-,-,1,"protein CHAPERONE-LIKE PROTEIN OF POR1, chloroplastic",protein-coding,"protein CHAPERONE-LIKE PROTEIN OF POR1, chloroplastic",Plant
2842,102606996,Green,13-20,14,1,LOC102606996,-,-,-,8,"alpha-glucan phosphorylase 2, cytosolic",protein-coding,"alpha-glucan phosphorylase 2, cytosolic",Plant
2843,102606997,Green,13-20,13,1,LOC102606997,-,-,-,8,ABC transporter G family member 31-like,protein-coding,ABC transporter G family member 31-like,Plant
2844,102606998,Green,5-12,6,1,LOC102606998,-,-,-,2,mitochondrial pyruvate carrier 4-like,pseudo,-,Plant
2845,102606999,Yellow,13-20,18,1,LOC102606999,-,-,-,2,calcium-dependent protein kinase 21-like,protein-coding,calcium-dependent protein kinase 21-like,Plant
2846,102607000,Green,13-20,13,1,LOC102607000,-,-,-,9,F-box protein At5g49610,protein-coding,F-box protein At5g49610,Plant
2847,102607001,Green,13-20,16,0,LOC102607001,-,-,-,9,protein GAMETE EXPRESSED 2,protein-coding,protein GAMETE EXPRESSED 2,Plant
2848,102607002,Green,13-20,13,1,LOC102607002,-,-,-,9,anaphase-promoting complex subunit 7,protein-coding,anaphase-promoting complex subunit 7,Plant
2849,102607003,Green,13-20,20,0,LOC102607003,-,-,-,9,polygalacturonase-like,protein-coding,polygalacturonase-like,Plant
2850,102607004,Green,13-20,17,1,LOC102607004,-,-,-,2,pumilio homolog 5,protein-coding,pumilio homolog 5,Plant
2851,102607005,Green,5-12,12,0,LOC102607005,-,-,-,9,1-aminocyclopropane-1-carboxylate oxidase homolog 1-like,protein-coding,1-aminocyclopropane-1-carboxylate oxidase homolog 1-like,Plant
2852,102607006,Green,21-28,26,0,LOC102607006,CISIN_1g026014mg,-,-,2,uncharacterized LOC102607006,protein-coding,uncharacterized protein LOC102607006|protein LSD1|vacuolar protein sorting-associated protein 2 homolog 2,Plant
2853,102607007,Green,5-12,7,0,LOC102607007,-,-,-,2,alpha-glucosidase-like,protein-coding,alpha-glucosidase-like,Plant
2854,102607008,Red,21-28,23,0,LOC102607008,-,-,-,9,"dihydroxy-acid dehydratase, chloroplastic",protein-coding,"dihydroxy-acid dehydratase, chloroplastic",Plant
2855,102607009,Green,21-28,28,0,LOC102607009,-,-,-,2,proteasome subunit alpha type-4-like,pseudo,-,Plant
2856,102607010,Yellow,5-12,5,1,LOC102607010,-,-,-,2,uncharacterized LOC102607010,protein-coding,uncharacterized protein LOC102607010,Plant
2857,102607011,Green,5-12,5,1,LOC102607011,-,-,-,9,acidic endochitinase-like,protein-coding,acidic endochitinase-like,Plant
2858,102607013,Green,5-12,5,1,LOC102607013,-,-,-,9,WD repeat-containing protein RUP2,protein-coding,WD repeat-containing protein RUP2,Plant
2859,102607015,Yellow,21-28,22,1,LOC102607015,CISIN_1g007183mg,-,-,9,cyclic nucleotide-gated ion channel 1,protein-coding,cyclic nucleotide-gated ion channel 1,Plant
2860,102607016,Yellow,13-20,17,0,LOC102607016,-,-,-,2,"putative pentatricopeptide repeat-containing protein At5g59200, chloroplastic",protein-coding,"putative pentatricopeptide repeat-containing protein At5g59200, chloroplastic",Plant
2861,102607017,Green,13-20,15,0,LOC102607017,CISIN_1g025261mg,-,-,9,hypothetical protein,protein-coding,uncharacterized protein LOC102607017,Plant
2862,102607018,Green,13-20,18,1,LOC102607018,CISIN_1g001271mg,-,-,Un,hypothetical protein,protein-coding,uncharacterized protein LOC102607018,Plant
2863,102607019,Green,13-20,16,0,LOC102607019,-,-,-,2,"probable lipid-A-disaccharide synthase, mitochondrial",protein-coding,"probable lipid-A-disaccharide synthase, mitochondrial",Plant
2864,102607020,Green,13-20,16,1,LOC102607020,CISIN_1g040791mg,-,-,Un,zinc finger protein ZAT1,protein-coding,zinc finger protein ZAT1,Plant
2865,102607021,Yellow,13-20,18,0,LOC102607021,-,-,-,2,aromatic-L-amino-acid decarboxylase-like,protein-coding,aromatic-L-amino-acid decarboxylase-like,Plant
2866,102607022,Green,13-20,15,0,LOC102607022,CISIN_1g012432mg,-,-,2,probable carboxylesterase 11,protein-coding,probable carboxylesterase 11,Plant
2867,102607023,Yellow,13-20,17,1,LOC102607023,CISIN_1g028251mg,-,-,2,ras-related protein RABB1b,protein-coding,ras-related protein RABB1b,Plant
2868,102607024,Green,13-20,19,1,LOC102607024,-,-,-,Un,pentatricopeptide repeat-containing protein At1g76280,protein-coding,LOW QUALITY PROTEIN: pentatricopeptide repeat-containing protein At1g76280,Plant
2869,102607025,Green,5-12,10,0,LOC102607025,CISIN_1g042914mg,-,-,2,hypothetical protein,protein-coding,uncharacterized protein LOC102607025,Plant
2870,102607026,Green,5-12,12,1,LOC102607026,-,-,-,Un,subtilisin-like protease SBT4.4,pseudo,-,Plant
2871,102607027,Green,5-12,8,0,LOC102607027,-,-,-,3,uncharacterized LOC102607027,protein-coding,uncharacterized protein LOC102607027,Plant
2872,102607029,Yellow,13-20,19,0,LOC102607029,-,-,-,3,"(R)-limonene synthase 1, chloroplastic",protein-coding,"(R)-limonene synthase 1, chloroplastic|(R)-limonene synthase 1",Plant
2873,102607030,Green,21-28,23,0,LOC102607030,-,-,-,3,"ankyrin repeat, bromo and BTB domain-containing protein DDB_G0293800",protein-coding,"ankyrin repeat, bromo and BTB domain-containing protein DDB_G0293800",Plant
2874,102607031,Green,13-20,14,0,LOC102607031,-,-,-,Un,auxin-responsive protein IAA30,protein-coding,auxin-responsive protein IAA30,Plant
2875,102607032,Green,5-12,12,0,LOC102607032,CISIN_1g044375mg,-,-,Un,hypothetical protein,protein-coding,protein STRICTOSIDINE SYNTHASE-LIKE 10,Plant
